name,status,category
arrow,1,data
bookdown,1,rmarkdown
compute.es,1,reporting
countrycode,1,data
crew,1,parallel
dabestr,1,reporting
devtools,1,essentials
duckdb,1,data
elevatr,1,geo
epiDisplay,1,reporting
exactextractr,1,geo
expss,1,reporting
factoextra,1,viz
filehash,1,data
fipio,1,geo
gdalUtilities,1,geo
geojsonio,1,geo
ggExtra,1,viz
ggimage,1,viz
ggraph,1,viz
ggspatial,1,geo
gifski,1,viz
GSODR,1,geo
gtsummary,1,reporting
haven,1,survey
hdf5r,1,geo
hoardr,1,geo
inlabru,1,geo
janitor,1,essentials
jmv,1,reporting
jtools,1,reporting
knitr,1,rmarkdown
languageserver,1,vscode
leaflet.extras,1,geo
learnr,1,teaching
lemon,1,viz
librarian,1,essentials
mapedit,1,geo
miniUI,1,rstudio
modelsummary,1,reporting
multidplyr,1,parallel
ncdf4,1,geo
osmdata,1,geo
papaja,1,rmarkdown
predicts,1,geo
prettymapr,1,geo
rasterVis,1,geo
rio,1,data
rmarkdown,1,rmarkdown
rnaturalearth,1,geo
rnaturalearthdata,1,geo
RNetCDF,1,geo
rstac,1,geo
RStoolbox,1,geo
rstudioapi,1,rstudio
sfhotspot,1,geo
shiny,1,shiny
shinybusy,1,shiny
shinydashboard,1,shiny
shinyFiles,1,shiny
sjPlot,1,reporting
spatialEco,1,geo
SpatialPack,1,geo
spgwr,1,geo
styler,1,rstudio
survey,1,survey
table1,1,reporting
targets,1,parallel
tictoc,1,essentials
tidygeocoder,1,geo
tidyverse,1,essentials
tmap,1,geo
yarrr,1,teaching
